"date","obs_gdp","obs_gdpdeflator","obs_corepce","obs_nominalrate"
"2002-03-31",3.7321726414464296,1.2884279578899038,1.1475387270352355,1.73
"2002-06-30",2.22564409965611,1.4995364800187705,2.3590696653396748,1.75
"2002-09-30",1.965036500480677,1.7947205048279402,2.0852172234222532,1.74
"2002-12-31",0.2516051244088713,2.1822069450002646,1.3977496883893714,1.44
"2003-03-31",2.0873478106963717,2.4887154643888465,0.9771488810480067,1.25
"2003-06-30",3.7670935245589954,1.2872218272382163,1.457965095667757,1.25
"2003-09-30",6.866058856356982,2.2346679343708375,1.6302350784943576,1.02
"2003-12-31",4.760923177335075,1.9092097783059314,1.4060013520789338,1.0
"2004-03-31",2.3189494061088833,3.535500500593458,2.184272062096815,1.0
"2004-06-30",2.9643387767528173,3.527823182060552,2.4481251154720773,1.01
"2004-09-30",3.683080069012279,2.4847063558070204,1.8543863290870988,1.43
"2004-12-31",3.506824249029483,2.83431540852801,1.8859469744373136,1.95
"2005-03-31",4.332677608166713,3.7564348127640423,2.5799711344116183,2.47
"2005-06-30",2.103542679720194,2.9366298804446744,2.147539148052857,2.94
"2005-09-30",3.401956970792508,3.7931090071156914,1.6754883829843026,3.46
"2005-12-31",2.3048664129769136,3.0693743421039033,2.6400360016914037,3.98
"2006-03-31",4.894631774025893,3.182291644614099,2.052387138661138,4.45
"2006-06-30",1.199565896781274,3.2575727208498106,2.722205601184169,4.91
"2006-09-30",0.3576754073299826,2.8204303610293024,2.1612891256643785,5.25
"2006-12-31",3.1686601743522225,1.4058202877126336,1.6973974407904935,5.24
"2007-03-31",0.24601848966949724,4.570990779623085,2.8745147339451327,5.25
"2007-06-30",3.097799790885758,2.2535737770359665,1.4173723505998215,5.25
"2007-09-30",2.7191582749606313,1.3941468452038697,1.9789599258829726,5.07
"2007-12-31",1.4320942628634814,1.7544618299514037,2.7287968412057495,4.5
"2008-03-31",-2.7035990387656583,2.30642527001077,2.3263370301558783,3.18
"2008-06-30",2.0035188226986467,1.9590921089004842,2.0314232272881316,2.08
"2008-09-30",-1.9025816239417348,2.767804911034233,1.8197301571704072,1.94
"2008-12-31",-8.192077531507325,0.5710824018630323,0.3999974808144291,0.51
"2009-03-31",-5.425704611865756,0.9935113743898105,0.4764251546824916,0.18
"2009-06-30",-0.5419012829891101,-0.6659166883821621,1.9626341283976778,0.18
"2009-09-30",1.3137373206070002,-0.08806340031430882,1.1304493593701226,0.15
"2009-12-31",3.9319575411495,1.1907863513351602,2.1016313335745274,0.12
"2010-03-31",1.7424998707177508,1.4170866005301708,1.0252490598292363,0.13
"2010-06-30",3.917940179578383,1.7865821820076677,1.062576800247328,0.19
"2010-09-30",2.7319548252904946,1.83886726101532,0.9840707620021538,0.19
"2010-12-31",2.54265521377508,2.066519599937422,0.8109336209453311,0.19
"2011-03-31",-1.5345044799460306,1.7773130015298344,1.3608206846670523,0.15
"2011-06-30",2.9370571813507107,2.9460906265585507,2.450267715985177,0.09
"2011-09-30",0.8465713519349549,2.437993817307471,2.031020230319891,0.08
"2011-12-31",4.582123784166492,0.5755964457367035,1.6078981566479467,0.07
"2012-03-31",2.678383647879934,2.130030486491652,2.2560447834835573,0.1
"2012-06-30",1.8842398457408427,1.8389791351293594,1.8883283471593293,0.15
"2012-09-30",0.47470444361390474,2.1710041958228565,1.2410458235511346,0.14
"2012-12-31",0.09146089313900596,1.6286884776837152,1.7306562046041973,0.16
"2013-03-31",2.8265987936684667,1.5724103741028284,1.6540019054231303,0.14
"2013-06-30",0.7717880287425594,0.8338200941374163,1.1429052138107298,0.12
"2013-09-30",3.1190995270147237,1.9432508120305059,1.3946447361087966,0.09
"2013-12-31",3.9601656408573715,2.07793092328159,1.7737591586960866,0.09
"2014-03-31",-1.181632082024342,1.7995236918952662,1.6219826889286582,0.07
"2014-06-30",3.963978123731593,2.208274596988624,2.0459695697795155,0.09
"2014-09-30",4.9586443536287605,1.6884607396792983,1.4834855325767782,0.09
"2014-12-31",2.318147247337765,0.4955823943343596,1.112563240331288,0.1
"2015-03-31",2.045165742466426,0.036601546032399845,1.1094773604447328,0.11
"2015-06-30",2.61142593487409,2.247217352267694,1.7634808769803945,0.13
"2015-09-30",1.9845870701123314,1.2209915496829815,1.4153216173678818,0.13
"2015-12-31",0.8739498923568734,0.9137472350646991,1.189564397873144,0.16
"2016-03-31",0.836257902501325,0.45687275528001337,2.057560871457187,0.36
"2016-06-30",1.4155949613192442,2.2900392410189374,1.794028115843016,0.37
"2016-09-30",3.513419235177384,1.4095361606892398,1.7240357891196378,0.39
"2016-12-31",NaN,NaN,NaN,0.45
